City,Day,Year,AvgTemp,Day_of_Year
Stockholm,1,1995,-0.4,1
Stockholm,2,1995,-1.1,2
Stockholm,3,1995,-7.9,3
Stockholm,4,1995,-5.1,4
Stockholm,5,1995,-4.2,5
Stockholm,6,1995,-3.1,6
Stockholm,7,1995,-6.5,7
Stockholm,8,1995,-1.9,8
Stockholm,9,1995,-0.3,9
Stockholm,10,1995,1.1,10
Stockholm,11,1995,-0.8,11
Stockholm,12,1995,-1.8,12
Stockholm,13,1995,-6.9,13
Stockholm,14,1995,1.5,14
Stockholm,15,1995,0.4,15
Stockholm,16,1995,1.4,16
Stockholm,17,1995,2.8,17
Stockholm,18,1995,2.6,18
Stockholm,19,1995,-0.1,19
Stockholm,20,1995,0.8,20
Stockholm,21,1995,0.2,21
Stockholm,22,1995,0.9,22
Stockholm,23,1995,0.1,23
Stockholm,24,1995,-2.8,24
Stockholm,25,1995,-2.6,25
Stockholm,26,1995,-4.3,26
Stockholm,27,1995,-6.4,27
Stockholm,28,1995,-9.1,28
Stockholm,29,1995,-5.5,29
Stockholm,30,1995,-7.6,30
Stockholm,31,1995,-8.6,31
Stockholm,1,1995,2.0,32
Stockholm,2,1995,1.3,33
Stockholm,3,1995,-1.3,34
Stockholm,4,1995,4.1,35
Stockholm,5,1995,1.3,36
Stockholm,6,1995,4.6,37
Stockholm,7,1995,-1.9,38
Stockholm,8,1995,-6.0,39
Stockholm,9,1995,-5.1,40
Stockholm,10,1995,-3.6,41
Stockholm,11,1995,-6.6,42
Stockholm,12,1995,-2.1,43
Stockholm,13,1995,3.9,44
Stockholm,14,1995,3.0,45
Stockholm,15,1995,2.4,46
Stockholm,16,1995,3.1,47
Stockholm,17,1995,2.4,48
Stockholm,18,1995,1.2,49
Stockholm,19,1995,0.8,50
Stockholm,20,1995,3.4,51
Stockholm,21,1995,1.3,52
Stockholm,22,1995,1.4,53
Stockholm,23,1995,3.3,54
Stockholm,24,1995,2.2,55
Stockholm,25,1995,-0.2,56
Stockholm,26,1995,-1.2,57
Stockholm,27,1995,-2.3,58
Stockholm,28,1995,4.2,59
Stockholm,1,1995,4.4,60
Stockholm,2,1995,1.7,61
Stockholm,3,1995,1.8,62
Stockholm,4,1995,2.2,63
Stockholm,5,1995,1.7,64
Stockholm,6,1995,1.1,65
Stockholm,7,1995,3.1,66
Stockholm,8,1995,0.9,67
Stockholm,9,1995,1.1,68
Stockholm,10,1995,1.4,69
Stockholm,11,1995,1.8,70
Stockholm,12,1995,3.4,71
Stockholm,13,1995,2.8,72
Stockholm,14,1995,-0.8,73
Stockholm,15,1995,-0.9,74
Stockholm,16,1995,0.6,75
Stockholm,17,1995,1.9,76
Stockholm,18,1995,2.6,77
Stockholm,19,1995,2.3,78
Stockholm,20,1995,1.7,79
Stockholm,21,1995,1.3,80
Stockholm,22,1995,2.3,81
Stockholm,23,1995,5.1,82
Stockholm,24,1995,6.4,83
Stockholm,25,1995,3.8,84
Stockholm,26,1995,3.4,85
Stockholm,27,1995,-1.3,86
Stockholm,28,1995,-1.5,87
Stockholm,29,1995,1.1,88
Stockholm,30,1995,1.1,89
Stockholm,31,1995,2.2,90
Stockholm,1,1995,5.2,91
Stockholm,2,1995,3.6,92
Stockholm,3,1995,3.1,93
Stockholm,4,1995,2.9,94
Stockholm,5,1995,2.6,95
Stockholm,6,1995,2.1,96
Stockholm,7,1995,-0.3,97
Stockholm,8,1995,1.4,98
Stockholm,9,1995,1.8,99
Stockholm,10,1995,1.7,100
Stockholm,11,1995,4.4,101
Stockholm,12,1995,4.5,102
Stockholm,13,1995,5.4,103
Stockholm,14,1995,7.0,104
Stockholm,15,1995,6.9,105
Stockholm,16,1995,5.6,106
Stockholm,17,1995,2.2,107
Stockholm,18,1995,2.9,108
Stockholm,19,1995,5.0,109
Stockholm,20,1995,1.6,110
Stockholm,21,1995,4.2,111
Stockholm,22,1995,5.7,112
Stockholm,23,1995,12.7,113
Stockholm,24,1995,12.1,114
Stockholm,25,1995,9.2,115
Stockholm,26,1995,5.2,116
Stockholm,27,1995,3.5,117
Stockholm,28,1995,0.6,118
Stockholm,29,1995,0.8,119
Stockholm,30,1995,2.9,120
Stockholm,1,1995,4.6,121
Stockholm,2,1995,7.3,122
Stockholm,3,1995,11.9,123
Stockholm,4,1995,12.7,124
Stockholm,5,1995,12.3,125
Stockholm,6,1995,10.3,126
Stockholm,7,1995,6.3,127
Stockholm,8,1995,6.1,128
Stockholm,9,1995,5.9,129
Stockholm,10,1995,5.7,130
Stockholm,11,1995,4.0,131
Stockholm,12,1995,3.3,132
Stockholm,13,1995,6.1,133
Stockholm,14,1995,1.6,134
Stockholm,15,1995,4.1,135
Stockholm,16,1995,5.8,136
Stockholm,17,1995,7.9,137
Stockholm,18,1995,8.4,138
Stockholm,19,1995,8.4,139
Stockholm,20,1995,10.9,140
Stockholm,21,1995,9.6,141
Stockholm,22,1995,6.7,142
Stockholm,23,1995,5.9,143
Stockholm,24,1995,10.4,144
Stockholm,25,1995,12.6,145
Stockholm,26,1995,11.7,146
Stockholm,27,1995,16.5,147
Stockholm,28,1995,17.4,148
Stockholm,29,1995,18.6,149
Stockholm,30,1995,19.9,150
Stockholm,31,1995,19.3,151
Stockholm,1,1995,18.6,152
Stockholm,2,1995,20.3,153
